customer_id,age_band,tenure_months,contract_type,monthly_charge,monthly_minutes,monthly_data_gb,support_tickets_6m,payment_method,churned
NT-00000,35-44,16,Month-to-month,60.19,167,1.5,2,Bank transfer,0
NT-00001,65+,37,Month-to-month,59.03,185,10.7,0,Direct debit,0
NT-00002,45-54,18,One-year,26.1,507,8.8,0,Direct debit,0
NT-00003,45-54,29,Month-to-month,55.54,258,2.3,1,Direct debit,0
NT-00004,25-34,38,One-year,26.55,481,17.1,1,Direct debit,0
NT-00005,25-34,37,Month-to-month,33.26,228,6.9,1,Credit card (tokenised),0
NT-00006,18-24,61,Month-to-month,42.65,232,7.1,3,Direct debit,0
NT-00007,55-64,25,One-year,52.13,100,9.2,2,Credit card (tokenised),0
NT-00008,45-54,17,One-year,33.28,431,16.9,3,Credit card (tokenised),0
NT-00009,45-54,30,Month-to-month,42.71,377,4.4,1,Credit card (tokenised),0
NT-00010,18-24,25,Month-to-month,34.21,192,8.4,1,Direct debit,0
NT-00011,65+,23,Two-year,12.0,189,10.2,1,Direct debit,1
NT-00012,55-64,21,One-year,37.54,436,12.4,2,Credit card (tokenised),0
NT-00013,25-34,34,Month-to-month,23.1,265,3.5,0,Direct debit,0
NT-00014,25-34,20,Month-to-month,53.26,436,8.0,1,Bank transfer,0
NT-00015,25-34,41,Month-to-month,53.34,105,26.4,2,Credit card (tokenised),1
NT-00016,25-34,40,Month-to-month,27.97,150,19.3,1,Credit card (tokenised),0
NT-00017,35-44,35,One-year,26.12,583,27.9,0,Credit card (tokenised),0
NT-00018,35-44,16,One-year,30.45,392,12.2,0,Direct debit,0
NT-00019,25-34,33,One-year,44.39,506,10.2,3,Direct debit,0
NT-00020,45-54,48,Month-to-month,44.44,265,3.8,0,Bank transfer,0
NT-00021,18-24,43,Two-year,78.9,206,25.9,1,Direct debit,0
NT-00022,25-34,40,Month-to-month,34.3,559,5.2,1,Direct debit,0
NT-00023,35-44,29,Two-year,39.1,31,7.3,0,Bank transfer,0
NT-00024,35-44,28,Month-to-month,61.18,329,10.0,0,Bank transfer,0
NT-00025,55-64,51,Month-to-month,41.44,491,14.0,1,Direct debit,0
NT-00026,25-34,33,One-year,24.94,264,4.7,3,Direct debit,0
NT-00027,35-44,34,Month-to-month,42.1,1026,7.3,0,Direct debit,0
NT-00028,45-54,95,One-year,46.46,335,6.5,1,Direct debit,0
NT-00029,18-24,24,One-year,33.9,437,6.9,2,Credit card (tokenised),1
NT-00030,45-54,7,Month-to-month,47.54,194,4.3,1,Direct debit,0
NT-00031,25-34,26,One-year,46.48,812,14.3,2,Direct debit,0
NT-00032,18-24,27,Month-to-month,32.5,358,18.1,2,Direct debit,1
NT-00033,65+,33,Month-to-month,56.62,274,38.9,1,Direct debit,0
NT-00034,65+,37,Two-year,28.6,346,14.4,4,Bank transfer,0
NT-00035,55-64,8,Two-year,43.25,137,3.2,1,Credit card (tokenised),0
NT-00036,25-34,37,Month-to-month,30.77,467,4.7,1,Credit card (tokenised),0
NT-00037,18-24,28,Month-to-month,17.69,232,3.2,1,Bank transfer,0
NT-00038,45-54,25,Month-to-month,42.3,413,15.7,0,Direct debit,0
NT-00039,35-44,11,One-year,61.15,103,17.0,1,Credit card (tokenised),0
NT-00040,18-24,57,Two-year,37.35,132,22.1,3,Bank transfer,0
NT-00041,35-44,23,Month-to-month,20.08,355,7.5,1,Credit card (tokenised),0
NT-00042,18-24,40,One-year,40.66,766,12.6,1,Credit card (tokenised),0
NT-00043,65+,18,Month-to-month,28.18,93,17.4,2,Credit card (tokenised),0
NT-00044,25-34,34,Month-to-month,50.65,227,23.9,1,Credit card (tokenised),0
NT-00045,45-54,25,Two-year,35.26,147,20.3,0,Bank transfer,0
NT-00046,25-34,40,Month-to-month,16.73,261,15.2,2,Credit card (tokenised),0
NT-00047,35-44,25,Month-to-month,44.1,342,17.4,1,Credit card (tokenised),0
NT-00048,35-44,18,One-year,40.51,287,17.5,0,Direct debit,1
NT-00049,25-34,29,Month-to-month,34.4,66,10.7,0,Direct debit,0
NT-00050,65+,28,Month-to-month,25.53,106,7.3,0,Credit card (tokenised),1
NT-00051,55-64,33,Two-year,59.47,150,10.2,1,Direct debit,0
NT-00052,65+,45,One-year,32.58,243,11.3,0,Direct debit,0
NT-00053,55-64,16,One-year,48.77,197,1.3,0,Direct debit,0
NT-00054,45-54,44,Month-to-month,32.44,249,2.6,0,Direct debit,0
NT-00055,65+,14,Month-to-month,46.17,310,3.7,1,Credit card (tokenised),0
NT-00056,18-24,39,Two-year,38.64,271,29.3,0,Direct debit,0
NT-00057,25-34,39,Month-to-month,38.34,850,4.0,1,Bank transfer,0
NT-00058,18-24,22,Month-to-month,28.08,867,10.1,1,Direct debit,1
NT-00059,25-34,19,Month-to-month,44.34,348,12.0,1,Credit card (tokenised),1
NT-00060,35-44,18,Month-to-month,54.86,214,12.0,1,Credit card (tokenised),1
NT-00061,25-34,30,Month-to-month,25.59,269,7.8,0,Credit card (tokenised),1
NT-00062,55-64,41,Two-year,28.01,382,18.3,1,Bank transfer,0
NT-00063,25-34,27,Two-year,73.33,176,12.1,0,Direct debit,0
NT-00064,25-34,7,One-year,25.98,386,7.7,0,Bank transfer,0
NT-00065,35-44,21,One-year,31.35,277,14.6,1,Direct debit,0
NT-00066,25-34,21,Two-year,54.6,784,28.1,0,Bank transfer,0
NT-00067,55-64,37,One-year,54.97,173,2.6,0,Direct debit,0
NT-00068,18-24,38,Month-to-month,12.0,670,7.6,1,Direct debit,0
NT-00069,65+,31,Month-to-month,47.19,384,11.0,6,Credit card (tokenised),0
NT-00070,55-64,44,Month-to-month,35.66,206,9.8,0,Credit card (tokenised),0
NT-00071,25-34,46,Month-to-month,36.21,494,15.6,0,Direct debit,0
NT-00072,18-24,22,Month-to-month,51.98,37,5.0,1,Credit card (tokenised),0
NT-00073,55-64,18,Month-to-month,33.82,242,8.8,2,Direct debit,0
NT-00074,45-54,28,Month-to-month,31.86,283,3.1,1,Direct debit,0
NT-00075,45-54,31,Month-to-month,34.14,211,9.7,1,Credit card (tokenised),0
NT-00076,55-64,22,Month-to-month,33.81,574,10.5,2,Direct debit,0
NT-00077,18-24,96,Month-to-month,42.17,974,7.5,0,Direct debit,0
NT-00078,25-34,55,One-year,53.88,175,4.3,2,Bank transfer,0
NT-00079,18-24,20,Month-to-month,43.13,548,3.5,1,Credit card (tokenised),1
NT-00080,55-64,16,One-year,37.85,339,4.6,2,Direct debit,1
NT-00081,45-54,20,Two-year,44.56,518,8.3,1,Credit card (tokenised),0
NT-00082,25-34,46,One-year,47.36,377,5.5,0,Credit card (tokenised),0
NT-00083,18-24,47,One-year,44.94,292,11.8,0,Bank transfer,0
NT-00084,25-34,55,Two-year,29.99,1245,16.1,1,Credit card (tokenised),0
NT-00085,25-34,18,Month-to-month,43.1,363,3.2,1,Credit card (tokenised),1
NT-00086,45-54,37,Two-year,12.57,544,8.1,0,Direct debit,0
NT-00087,45-54,19,One-year,56.41,214,7.7,0,Direct debit,0
NT-00088,55-64,61,One-year,56.37,753,8.3,4,Credit card (tokenised),0
NT-00089,35-44,18,Month-to-month,48.67,330,7.8,0,Credit card (tokenised),0
NT-00090,18-24,14,Month-to-month,52.95,131,6.6,2,Direct debit,0
NT-00091,45-54,15,One-year,37.11,258,8.1,1,Bank transfer,1
NT-00092,55-64,29,One-year,28.99,358,12.0,2,Direct debit,0
NT-00093,35-44,40,One-year,22.95,348,12.2,1,Direct debit,0
NT-00094,55-64,39,Month-to-month,50.1,307,10.9,1,Direct debit,0
NT-00095,35-44,16,Month-to-month,28.99,340,6.2,1,Credit card (tokenised),1
NT-00096,35-44,23,Month-to-month,33.51,165,3.0,1,Direct debit,0
NT-00097,35-44,22,Month-to-month,40.69,332,11.3,0,Bank transfer,0
NT-00098,18-24,14,Month-to-month,37.55,238,9.9,0,Bank transfer,0
NT-00099,18-24,22,Month-to-month,41.18,437,10.4,1,Direct debit,1
NT-00100,18-24,54,Month-to-month,16.3,344,29.4,0,Direct debit,0
NT-00101,45-54,13,Month-to-month,35.2,221,14.5,2,Direct debit,1
NT-00102,25-34,32,Month-to-month,47.89,451,9.1,0,Direct debit,0
NT-00103,35-44,55,Two-year,32.82,569,17.7,1,Credit card (tokenised),0
NT-00104,65+,53,One-year,27.65,394,11.0,1,Credit card (tokenised),0
NT-00105,25-34,62,One-year,49.46,195,14.1,1,Direct debit,0
NT-00106,35-44,34,Month-to-month,32.91,900,9.3,0,Bank transfer,0
NT-00107,45-54,36,One-year,40.21,316,0.7,0,Bank transfer,0
NT-00108,25-34,22,Month-to-month,35.47,386,8.2,3,Credit card (tokenised),0
NT-00109,18-24,13,Two-year,37.99,90,11.5,1,Credit card (tokenised),0
NT-00110,25-34,27,One-year,56.36,339,6.8,2,Credit card (tokenised),0
NT-00111,25-34,49,One-year,44.86,513,12.8,0,Direct debit,0
NT-00112,65+,6,Two-year,23.34,276,6.7,1,Credit card (tokenised),1
NT-00113,55-64,22,Month-to-month,33.54,422,29.3,1,Credit card (tokenised),0
NT-00114,45-54,38,Month-to-month,33.05,429,11.4,1,Direct debit,0
NT-00115,55-64,29,One-year,40.6,535,9.1,1,Credit card (tokenised),0
NT-00116,55-64,52,Month-to-month,48.91,323,10.0,0,Direct debit,0
NT-00117,25-34,47,Month-to-month,38.38,251,5.9,1,Credit card (tokenised),1
NT-00118,55-64,12,One-year,38.03,143,18.8,0,Credit card (tokenised),0
NT-00119,35-44,30,Month-to-month,12.0,432,4.8,0,Direct debit,0
NT-00120,55-64,19,One-year,53.89,865,25.0,1,Direct debit,0
NT-00121,55-64,19,Two-year,35.99,198,19.6,2,Bank transfer,0
NT-00122,25-34,13,Month-to-month,41.1,493,5.1,1,Credit card (tokenised),0
NT-00123,18-24,33,Month-to-month,41.08,796,3.5,0,Credit card (tokenised),0
NT-00124,25-34,53,Month-to-month,28.77,215,5.4,0,Credit card (tokenised),0
NT-00125,35-44,34,Month-to-month,35.07,580,22.5,2,Direct debit,0
NT-00126,55-64,12,Month-to-month,28.67,130,8.1,1,Direct debit,0
NT-00127,55-64,28,Month-to-month,54.6,584,2.6,1,Direct debit,0
NT-00128,18-24,37,Month-to-month,12.0,92,17.7,0,Bank transfer,0
NT-00129,35-44,27,Month-to-month,26.56,66,15.4,0,Credit card (tokenised),0
NT-00130,35-44,34,One-year,34.14,175,13.9,0,Bank transfer,0
NT-00131,25-34,20,Two-year,55.97,440,27.3,1,Direct debit,0
NT-00132,18-24,25,One-year,46.49,359,13.3,0,Credit card (tokenised),0
NT-00133,25-34,25,Month-to-month,18.34,593,19.7,1,Direct debit,0
NT-00134,65+,57,Month-to-month,36.61,316,7.1,1,Credit card (tokenised),0
NT-00135,25-34,16,One-year,46.66,162,12.0,0,Direct debit,0
NT-00136,35-44,7,Month-to-month,64.72,366,18.7,0,Credit card (tokenised),0
NT-00137,45-54,55,Month-to-month,33.92,465,2.4,1,Direct debit,0
NT-00138,35-44,31,One-year,23.79,422,7.5,0,Credit card (tokenised),1
NT-00139,65+,14,Month-to-month,41.87,433,9.0,0,Direct debit,0
NT-00140,65+,45,Month-to-month,37.48,500,23.0,0,Direct debit,0
NT-00141,25-34,38,Two-year,43.56,332,10.5,0,Direct debit,0
NT-00142,35-44,62,Two-year,46.29,593,2.8,0,Credit card (tokenised),0
NT-00143,25-34,32,Month-to-month,41.84,116,5.0,0,Direct debit,0
NT-00144,25-34,83,Month-to-month,44.34,612,7.4,1,Direct debit,0
NT-00145,18-24,27,One-year,57.63,599,7.3,1,Credit card (tokenised),0
NT-00146,45-54,38,One-year,34.51,318,19.5,0,Direct debit,0
NT-00147,35-44,41,Month-to-month,23.31,398,16.4,2,Credit card (tokenised),0
NT-00148,18-24,96,One-year,41.77,449,5.6,0,Direct debit,0
NT-00149,25-34,23,Two-year,22.62,1159,8.4,0,Bank transfer,0
NT-00150,65+,22,Month-to-month,24.54,302,5.5,0,Credit card (tokenised),0
NT-00151,25-34,42,Two-year,28.13,310,15.3,3,Credit card (tokenised),0
NT-00152,25-34,13,Two-year,22.99,150,10.0,1,Bank transfer,0
NT-00153,35-44,19,Month-to-month,52.02,738,4.2,1,Bank transfer,0
NT-00154,65+,27,One-year,38.59,427,25.1,1,Direct debit,0
NT-00155,25-34,61,Month-to-month,46.48,268,25.5,1,Direct debit,0
NT-00156,45-54,42,One-year,44.12,341,3.8,1,Direct debit,0
NT-00157,55-64,30,One-year,35.48,531,20.8,1,Direct debit,0
NT-00158,25-34,22,Month-to-month,49.53,357,5.6,0,Credit card (tokenised),1
NT-00159,45-54,73,One-year,32.21,425,14.0,2,Credit card (tokenised),0
